Edition_Name,Edition_ID
Extras: Guilds of Ravnica,449
Extras: Khans of Tarkir,450
Extras: Modern Horizons Foil,451
Extras: Dark Ascension,452
Extras: Avacyn Restored,453
Extras: Aether Revolt,454
2020 Heroes of the Realm,455
Unlimited Edition,456
Extras: Masters 25,457
Double Masters,458
Duel Decks: Speed vs. Cunning,459
The Lord of the Rings: Tales of Middle-earth Deluxe Commander Kit,460
Oversized: Magic 2015 Prerelease Promos,461
Extras: Time Spiral Remastered,462
Extras: Modern Masters 2017 Edition,463
Planechase 2012,464
Extras: The Big Score,465
Extras: Theros Beyond Death,466
Modern Masters 2017 Edition,467
HASCON Promos,468
Game Night 2019,469
Extras: Ultimate Masters,470
Extras: Duel Decks: Phyrexia vs. The Coalition,471
Extras: Dominaria United Commander,472
Extras: Breaking News,473
Game Night: Free-for-All,474
The Brothers' War Jumpstart Front Cards,475
Modern Horizons 1 Timeshifts,476
Legends Italian,477
From the Vault: Angels,478
2018 Heroes of the Realm,479
Extras: Commander Anthology,480
Extras: Game Night,481
Duel Decks: Elspeth vs. Kiora,482
Anthologies,483
Extras: Transformers,484
Extras: Conspiracy: Take the Crown,485
Iconic Masters,486
From the Vault: Relics,487
Prerelease Events: The Lost Caverns of Ixalan,488
Prerelease Events,489
Extras: Lorwyn,490
Marvel Universe,491
2021 Lunar New Year,492
Starter 2000,493
30th Anniversary Edition,494
Ponies: The Galloping,495
Wizards Play Network 2023,496
Wizards Play Network 2024,497
2023 Heroes of the Realm,498
Promos: Throne of Eldraine,499
Magic Player Rewards,500
Promo Pack: Throne of Eldraine,501
Extras: Magic Player Rewards,502
Signature Spellbook: Gideon,503
Premium Deck Series: Graveborn,504
Commander Collection: Black,505
Extras: Worldwake,506
Duel Decks: Izzet vs. Golgari,507
Oversized: Battle for Baldur's Gate,508
Extras: Shadows over Innistrad,509
Battle Royale Box Set,510
Extras: 30th Anniversary Edition,511
Strixhaven Mystical Archive,512
Fourth Edition: Black Bordered,513
Judge Gift Program,514
